,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
22,MPC,Marathon Petroleum Corporation,2016-07-28T00:00:00.000Z,TNS,0.97,1.07,10.77,EST,0,EQUITY,2016-07-28
23,MPC,Marathon Petroleum Corporation,2016-04-28T00:00:00.000Z,TNS,0.15,0.06,-60.0,EST,0,EQUITY,2016-04-28
24,MPC,Marathon Petroleum Corporation,2016-02-03T00:00:00.000Z,TNS,0.69,0.79,13.83,EST,0,EQUITY,2016-02-03
25,MPC,Marathon Petroleum Corporation,2015-10-29T00:00:00.000Z,TNS,1.82,1.94,6.65,EST,0,EQUITY,2015-10-29
26,MPC,Marathon Petroleum Corporation,2015-07-30T00:00:00.000Z,TNS,1.76,1.51,-14.4,EST,0,EQUITY,2015-07-30
27,MPC,Marathon Petroleum Corporation,2015-04-30T00:00:00.000Z,TNS,1.44,1.62,12.81,EST,0,EQUITY,2015-04-30
28,MPC,Marathon Petroleum Corporation,2015-02-04T00:00:00.000Z,TNS,0.69,1.44,108.58,EST,0,EQUITY,2015-02-04
29,MPC,Marathon Petroleum Corporation,2014-10-30T00:00:00.000Z,TNS,1.14,1.18,3.33,EST,0,EQUITY,2014-10-30
30,MPC,Marathon Petroleum Corporation,2014-07-31T00:00:00.000Z,TNS,1.07,1.48,37.93,EST,0,EQUITY,2014-07-31
31,MPC,Marathon Petroleum Corporation,2014-05-01T00:00:00.000Z,TNS,0.52,0.41,-21.87,EST,0,EQUITY,2014-05-01
32,MPC,Marathon Petroleum Corporation,2014-01-29T00:00:00.000Z,TNS,0.58,1.05,81.92,EST,0,EQUITY,2014-01-29
33,MPC,Marathon Petroleum Corporation,2013-10-31T00:00:00.000Z,TNS,0.3,0.3,-3.22,EST,0,EQUITY,2013-10-31
34,MPC,Marathon Petroleum Corporation,2013-08-01T00:00:00.000Z,TNS,0.96,0.98,1.22,EST,0,EQUITY,2013-08-01
35,MPC,Marathon Petroleum Corporation,2013-04-30T00:00:00.000Z,TNS,1.08,1.09,0.15,EST,0,EQUITY,2013-04-30
36,MPC,Marathon Petroleum Corporation,2013-01-30T00:00:00.000Z,TNS,1.05,1.13,7.63,EST,0,EQUITY,2013-01-30
37,MPC,Marathon Petroleum Corporation,2012-11-01T00:00:00.000Z,TNS,1.62,1.66,2.4,EST,0,EQUITY,2012-11-01
38,MPC,Marathon Petroleum Corporation,2012-07-31T00:00:00.000Z,TNS,1.25,1.26,0.91,EST,0,EQUITY,2012-07-31
39,MPC,Marathon Petroleum Corporation,2012-05-01T00:00:00.000Z,TNS,0.67,0.85,27.1,EST,0,EQUITY,2012-05-01
40,MPC,Marathon Petroleum Corporation,2012-02-01T00:00:00.000Z,TNS,-0.03,-0.1,-269.85,EST,0,EQUITY,2012-02-01
41,MPC,Marathon Petroleum Corporation,2011-11-01T00:00:00.000Z,TNS,1.29,1.58,22.67,EST,0,EQUITY,2011-11-01
42,MPC,Marathon Petroleum Corporation,2011-08-02T00:00:00.000Z,TNS,0.98,1.15,16.93,EST,0,EQUITY,2011-08-02
